,1,2,3,4,5,10,20
TotalProfit,0.3437851303990662,0.37068166903574634,0.4110179608357117,0.4451696250204997,0.4604971698149049,0.6232315601324008,0.7329792018980402
Ann. mean,-0.24518295490979725,-0.23005496398660885,-0.20881627573898354,-0.19200392180345527,-0.1847662890886358,-0.11711643064953592,-0.07857414774667681
Voltality,0.10034254893141417,0.07228170120480892,0.05862218499342992,0.04844797398337045,0.04168004901968628,0.03033328878731853,0.021001227919796098
Beta,-0.0554251250985826,-0.05640630231352641,-0.05098548523350609,-0.04510836453851881,-0.020739994842745295,0.013559685042828583,0.05875095895871412
Alpha,-0.2505483143774676,-0.23757879648919839,-0.21627920657070188,-0.19884155295091419,-0.18797269427722593,-0.11497672646002255,-0.06907379498795783
Tvr,0.08294900701165092,0.08294900701165092,0.08294900701165092,0.08294900701165092,0.08294900701165092,0.08294900701165092,0.08294900701165092
Maxdrawdown,-0.6716364128103748,-0.6407162854464659,-0.6016186007038726,-0.5693876255122308,-0.552221827243877,-0.4070010204278751,-0.2825129283071701
Sharpe,-2.4434595046751695,-3.1827552499733254,-3.562069134106595,-3.963094965939334,-4.432967173367938,-3.860986900256556,-3.741407314217639
IR,-0.41572514399683086,-0.37830043564957466,-0.3071629223434131,-0.2350379033518183,-0.20123582706583046,0.3902952300798845,1.2110230239215451
